Case_ID,Person_ID,Age_Group,Gender,Last_Latitude,Last_Longitude,Last_Seen_Time,Day,Weather,Usual_Area,Average_Distance,Average_Speed,Previous_Area,Time_Since_Last_Seen,Target_Area
MP-2026-001,P038,36-50,Not specified,39.90229116669493,116.40773755086666,2025-02-04 06:50:00,Tuesday,Rain,E_South,6.01,8.8,G_Station,6,B_West
MP-2026-002,P003,26-35,Female,39.9689535329898,116.4210545587668,2025-01-01 13:52:00,Wednesday,Rain,H_Market,4.55,7.21,A_Central,3,G_Station
MP-2026-003,P006,51+,Female,39.90081297310939,116.3184783192685,2025-01-25 16:15:00,Saturday,Cloudy,G_Station,6.17,9.33,C_North,3,C_North
MP-2026-004,P029,26-35,Not specified,39.89961078922772,116.3257421069193,2025-01-26 13:24:00,Sunday,Cloudy,D_East,5.77,8.98,E_South,4,E_South
MP-2026-005,P021,51+,Not specified,39.92441559329088,116.4640887864297,2025-01-05 07:28:00,Sunday,Rain,F_Park,6.01,9.47,E_South,3,H_Market
MP-2026-006,P019,18-25,Not specified,39.90887374533797,116.45569431123339,2025-01-26 12:16:00,Sunday,Clear,G_Station,4.51,7.06,E_South,1,A_Central
MP-2026-007,P018,18-25,Female,39.86299951589708,116.4156269680833,2025-02-06 19:32:00,Thursday,Cloudy,H_Market,4.99,8.62,D_East,5,H_Market
MP-2026-008,P033,36-50,Male,39.91829566051732,116.35367192256648,2025-01-26 06:21:00,Sunday,Cloudy,C_North,4.21,6.42,D_East,3,B_West
MP-2026-009,P040,18-25,Female,39.9136514182189,116.34918976627061,2025-02-09 07:04:00,Sunday,Clear,H_Market,3.44,5.22,F_Park,6,B_West
MP-2026-010,P029,26-35,Male,39.96887936029473,116.42526455253508,2025-01-04 06:46:00,Saturday,Clear,E_South,5.77,8.98,G_Station,4,B_West
MP-2026-011,P022,26-35,Not specified,39.900799698557186,116.33090366868046,2025-01-27 20:03:00,Monday,Rain,B_West,6.1,9.57,E_South,6,G_Station
MP-2026-012,P029,36-50,Female,39.96534577198795,116.42439209710608,2025-01-21 19:13:00,Tuesday,Rain,D_East,5.77,8.98,A_Central,2,E_South
